Timestamp,Long_ex,Short_ex,Total_Invested,Long_Net_Profit,Short_Net_Profit,Net_Profit,ROI,Rebated_Net_Profit,Rebated_ROI,Symbol
2026-02-04 15:28,gate,okx,999.92,2.0202,0.7375,2.7577,0.002758,3.4329,0.003433,SENTUSDT
2026-02-04 16:28,bitget,gate,967.12,2.9782,-4.1071,-1.1289,-0.001167,-0.529,-0.000547,ZKPUSDT
2026-02-04 20:28,binance,gate,856.24,0.5989,-2.8417,-2.2427,-0.002619,-1.7893,-0.00209,PLAYUSDT
2026-02-04 22:28,gate,okx,991.05,0.6933,1.0453,1.7386,0.001754,2.4074,0.002429,SENTUSDT
2026-02-04 23:28,gate,bybit,992.3,0.0718,-1.8133,-1.7415,-0.001755,-1.1069,-0.001115,SENTUSDT
2026-02-05 00:28,bitget,gate,972.48,-7.742,12.9376,5.1956,0.005343,5.7973,0.005961,SENTUSDT
2026-02-05 01:28,okx,gate,1015.64,4.2331,-4.358,-0.1249,-0.000123,0.5648,0.000556,SENTUSDT
2026-02-05 04:28,bitget,okx,958.54,-5.135,3.4557,-1.6793,-0.001752,-1.1952,-0.001247,SENTUSDT
2026-02-05 08:28,binance,gate,857.26,-0.3318,2.1818,1.85,0.002158,2.3125,0.002698,ENSOUSDT
2026-02-05 12:28,okx,bitget,949.3,-2.2994,2.2743,-0.0252,-2.6e-05,0.4342,0.000457,GIGGLEUSDT
2026-02-05 16:28,okx,bitget,953.39,0.8319,-1.8969,-1.0649,-0.001117,-0.5909,-0.00062,GIGGLEUSDT
2026-02-05 20:28,okx,bitget,954.87,-8.9376,8.3418,-0.5959,-0.000624,-0.1131,-0.000118,GIGGLEUSDT
2026-02-06 00:28,binance,bitget,856.62,-22.448,23.854,1.406,0.001641,1.7236,0.002012,FLOWUSDT
2026-02-06 04:28,binance,bitget,816.39,0.4809,0.114,0.5949,0.000729,0.9092,0.001114,FLOWUSDT
2026-02-06 08:28,binance,bitget,817.27,0.7464,-1.3892,-0.6428,-0.000787,-0.3307,-0.000405,FLOWUSDT
2026-02-06 13:28,gate,bybit,1011.8,-2.5203,3.0296,0.5093,0.000503,1.413,0.001397,BIRBUSDT
2026-02-06 15:28,binance,bybit,818.62,-0.8879,-0.5371,-1.425,-0.001741,-0.9123,-0.001114,BIRBUSDT
2026-02-06 16:28,bitget,okx,976.31,4.5603,-4.903,-0.3427,-0.000351,0.1553,0.000159,GIGGLEUSDT
2026-02-06 20:28,bybit,okx,1001.93,-6.3483,7.2302,0.8819,0.00088,1.3945,0.001392,FLOWUSDT
2026-02-07 00:28,bybit,okx,1014.94,-8.2616,6.21,-2.0516,-0.002021,-1.5302,-0.001508,FLOWUSDT
2026-02-07 01:28,binance,bybit,814.88,-0.8074,-4.2285,-5.0359,-0.00618,-4.7294,-0.005804,API3USDT
2026-02-07 03:28,binance,bybit,813.49,8.1954,-5.2029,2.9925,0.003679,3.3017,0.004059,LAUSDT
2026-02-07 04:28,gate,binance,828.23,1.0049,-2.7392,-1.7344,-0.002094,-1.2777,-0.001543,LAUSDT
2026-02-07 05:28,gate,bybit,1009.07,4.7136,4.0753,8.7889,0.00871,9.4269,0.009342,LAUSDT
2026-02-07 06:28,gate,bybit,1017.56,-18.4043,22.3729,3.9686,0.0039,4.6114,0.004532,LAUSDT
2026-02-07 07:28,gate,bybit,984.43,-14.3818,13.5756,-0.8063,-0.000819,-0.1979,-0.000201,LAUSDT
2026-02-07 08:28,bybit,gate,958.54,8.7518,-10.227,-1.4752,-0.001539,-0.8589,-0.000896,API3USDT
2026-02-07 11:28,binance,bybit,823.28,5.0089,-6.4798,-1.4709,-0.001787,-1.155,-0.001403,ARKUSDT
2026-02-07 12:28,gate,okx,956.33,4.7762,-6.5544,-1.7781,-0.001859,-1.1359,-0.001188,FLOWUSDT
2026-02-07 13:28,bitget,bybit,1002.52,-3.4424,1.4659,-1.9765,-0.001972,-1.4966,-0.001493,FLOWUSDT
2026-02-07 14:28,binance,bybit,830.12,-5.6021,6.6755,1.0734,0.001293,1.3973,0.001683,CVCUSDT
2026-02-07 15:28,okx,bybit,1014.32,-3.8405,3.8979,0.0574,5.7e-05,0.5841,0.000576,BREVUSDT
2026-02-07 16:28,bybit,gate,964.93,-5.4634,4.8878,-0.5756,-0.000596,0.0302,3.1e-05,FLOWUSDT
2026-02-07 20:28,binance,bitget,819.93,-2.8335,2.2926,-0.5409,-0.00066,-0.2273,-0.000277,FLOWUSDT
2026-02-08 01:28,bitget,okx,1000.45,2.7672,-3.7444,-0.9772,-0.000977,-0.4666,-0.000466,FUSDT
